title,description,cleaned_text
General Banker (m/w/d),"Durch training on the job"" und zielgerichtete Seminare erhalten Sie eine fundierte Ausbildung, lernen unser Unternehmen kennen und setzen Akzente im Vertrieb … abgeschlossene kaufmännische Ausbildung und haben mehrjährige Berufserfahrung in der Bank- oder Versicherungsbranche mit aktiven Kundenkontakt",durch training job und zielgerichtete seminare erhalten sie eine fundierte ausbildung lernen unser unternehmen kennen und setzen akzente im vertrieb abgeschlossene kaufm nnische ausbildung und haben mehrj hrige berufserfahrung der bank oder versicherungsbranche mit aktiven kundenkontakt
Junior Revisor für die Bankenprüfung (m/w/d)," … in die Prüfung von Jahres- und Konzernabschlüssen nach lokalen (UGB) und internationalen Rechnungslegungsgrundsätzen (IFRS) im Bankenbereich einzuarbeiten - Hier erlernst du ergänzend die Erstellung von Prüfberichten, Einschätzung von Kreditrisiken und Bonitätseinstufungen, lieferst später auch … ",die pr fung von jahres und konzernabschl ssen nach lokalen ugb und internationalen rechnungslegungsgrunds tzen ifrs im bankenbereich einzuarbeiten hier erlernst du erg nzend die erstellung von pr fberichten einsch tzung von kreditrisiken und bonit tseinstufungen lieferst sp ter auch
Bankenanalyst:in Schwerpunkt Eigenmittel,"Laufende Aufsichtstätigkeit in Bezug auf Risiko und Profitabilität österreichischer Kreditinstitute (Less Significant Institutions) in Zusammenarbeit mit der … in den Bereichen regulatorische Eigenmittel/berücksichtigungsfähige Verbindlichkeiten sowie bankspezifische Rechnungslegung (UGB/BWG, IFRS)",laufende aufsichtst tigkeit bezug auf risiko und profitabilit sterreichischer kreditinstitute le significant institution zusammenarbeit mit der den bereichen regulatorische eigenmittel ber cksichtigungsf hige verbindlichkeiten sowie bankspezifische rechnungslegung ugb bwg ifrs
Internship bank99 (w/m/d),"Fortgeschrittenes Hochschulstudium mit einschlägigem Schwerpunkt - Gute MS-Office-Anwenderkenntnisse (insb. Excel, Power Point) - Teamfähigkeit, Stressresistenz und ausgeprägte Kommunikationsfähigkeit … Hohe Lernbereitschaft und Interesse an den Aufgabenfeldern im Bankensektor",fortgeschrittenes hochschulstudium mit einschl gigem schwerpunkt gute m office anwenderkenntnisse insb excel power point teamf higkeit stressresistenz und ausgepr gte kommunikationsf higkeit hohe lernbereitschaft und interesse den aufgabenfeldern im bankensektor
Privatkundenbetreuer:in,"Sie beraten Ihre Kund:innen in allen Finanzangelegenheiten, speziell in Sachen Wertpapier, Finanzierung, Veranlagung, Zahlungsverkehr und Vorsorge. Durch Ihr Kommunikationstalent gelingt es Ihnen, nachhaltige und erfolgreiche Kundenbeziehungen aufzubauen und zu pflegen … Abgeschlossene Bankausbildung",sie beraten ihre kund innen allen finanzangelegenheiten speziell sachen wertpapier finanzierung veranlagung zahlungsverkehr und vorsorge durch ihr kommunikationstalent gelingt e ihnen nachhaltige und erfolgreiche kundenbeziehungen aufzubauen und zu pflegen abgeschlossene bankausbildung
Kreditmanager/In Firmenkunden,Prüfung und Beurteilung der Kreditanträge - Analyse der wirtschaftlichen Verhältnisse - Kreditbewilligungen im Rahmen der eigenen Kompetenz - Erstellung von Entscheidungsvorlagen und Empfehlung für übergeordnete Gremien … Bei der Hypo Vorarlberg schließen sich Beständigkeit und große Ambitionen nicht aus,pr fung und beurteilung der kreditantr ge analyse der wirtschaftlichen verh ltnisse kreditbewilligungen im rahmen der eigenen kompetenz erstellung von entscheidungsvorlagen und empfehlung f r bergeordnete gremien bei der hypo vorarlberg schlie en sich best ndigkeit und gro e ambitionen nicht au
Servicebetreuer (m/w/d),"Ihre Stärken liegen in der Betreuung und Servicierung der Kund:innen im Foyer, an den Selbstbedienungsgeräten und an der Kassa. Durch Ihr Fachwissen und Ihr persönliches Engagement positionieren Sie sich als erste Ansprechperson in Finanzangelegenheiten der Kund:innen und zeigen sich … ",ihre st rken liegen der betreuung und servicierung der kund innen im foyer den selbstbedienungsger ten und der kassa durch ihr fachwissen und ihr pers nliches engagement positionieren sie sich al erste ansprechperson finanzangelegenheiten der kund innen und zeigen sich
Privatkundenbetreuer (m/w/d),"Betreuung und Beratung zugeordneter Kund:innen in allen finanziellen Angelegenheiten (Veranlagung, Finanzierung, Konto/Zahlungsverkehr, Versicherungen) - Umsichtige Bedarfserhebung, Erarbeitung und Verkauf bedarfsgerechter Finanzlösungen … Idealerweise erste Erfahrung im Bankkundengeschäft",betreuung und beratung zugeordneter kund innen allen finanziellen angelegenheiten veranlagung finanzierung konto zahlungsverkehr versicherungen umsichtige bedarfserhebung erarbeitung und verkauf bedarfsgerechter finanzl sungen idealerweise erste erfahrung im bankkundengesch ft
Mitarbeiter im Bankwesen (m/w/d),Telefonische und teilweise auch persönliche Betreuung und Beratung von Kunden - Annahme und Bearbeitung von Wertpapieraufträgen - Bearbeitung der Provisionsabrechnung … Erfahrung im Bankenbereich und Wertpapierkenntnisse wünschenswert,telefonische und teilweise auch pers nliche betreuung und beratung von kunden annahme und bearbeitung von wertpapierauftr gen bearbeitung der provisionsabrechnung erfahrung im bankenbereich und wertpapierkenntnisse w nschenswert
Kaufm. Sachbearbeiter:in Factoring Bank,"Erfassung der angekauften Rechnungen, Buchung von Zahlungseingängen und Abwicklung des Mahnwesens - Bearbeitung von Anfragen unserer Kunden und deren Debitoren - Erster Ansprechpartner bei Fragen zur täglichen Abwicklung - Schnittstelle auch zu anderen Abteilungen unseres Hauses",erfassung der angekauften rechnungen buchung von zahlungseing ngen und abwicklung de mahnwesens bearbeitung von anfragen unserer kunden und deren debitoren erster ansprechpartner bei fragen zur glichen abwicklung schnittstelle auch zu anderen abteilungen unseres hauses
Privatkundenbetreuer/in,In Ihrer Position als Privatkundenbetreuer/in sind Sie verantwortlich für einen attraktiven Kundenstock und betreuen diesen in allen finanziellen … Sie erkennen Kundenbedürfnisse und erarbeiten daraus bedarfsgerechte Lösungen,ihrer position al privatkundenbetreuer sind sie verantwortlich f r einen attraktiven kundenstock und betreuen diesen allen finanziellen sie erkennen kundenbed rfnisse und erarbeiten daraus bedarfsgerechte l sungen
Servicebetreuer (m/w/d),"Erste Ansprechperson für Kundenanliegen * Selbstständige Kassenführung, Abwicklung des Schaltergeschäftes und des Zahlungsverkehrs * Servicierung der Kund:innen im Foyer und an den Selbstbedienungsgeräten … Kaufmännische Ausbildung (idealerweise HAK/HLW oder Banklehre)",erste ansprechperson f r kundenanliegen selbstst ndige kassenf hrung abwicklung de schaltergesch ftes und de zahlungsverkehrs servicierung der kund innen im foyer und den selbstbedienungsger ten kaufm nnische ausbildung idealerweise hak hlw oder banklehre
erfahrene:n Privatkundenbetreuer:in (m/w/d),Abwicklung von Serviceleistungen im Rahmen des Schalterbetriebs (Kundenverkehr mit Bargeldmanipulation) - umfassende Betreuung und qualifizierte Beratung von Privatkunden in allen finanziellen Angelegenheiten … Erfahrung im Bankgeschäft und abgeschlossene Bankengrundausbildung,abwicklung von serviceleistungen im rahmen de schalterbetriebs kundenverkehr mit bargeldmanipulation umfassende betreuung und qualifizierte beratung von privatkunden allen finanziellen angelegenheiten erfahrung im bankgesch ft und abgeschlossene bankengrundausbildung
Individualkundenbetreuer (m/w/d),Folgende Aufgaben bringt diese Position mit sich: Beratung und Betreuung mit Fokus auf das gehobene Veranlagungsgeschäft gemeinsam mit Private Banking - Aktiver Verkauf der Produkt- und Dienstleistungspalette mit dem Schwerpunkt Wertpapiere und Versicherungen,folgende aufgaben bringt diese position mit sich beratung und betreuung mit fokus auf da gehobene veranlagungsgesch ft gemeinsam mit private banking aktiver verkauf der produkt und dienstleistungspalette mit dem schwerpunkt wertpapiere und versicherungen
Servicebetreuer (m/w/d),"Erste Ansprechperson für Kund:innen - Selbstständige Kassenführung, Abwicklung des Schaltergeschäftes und Zahlungsverkehrs - Servicierung der Kund:innen im Foyer und an den Selbstbedienungsgeräten … Raiffeisenbank Kleinmünchen/Linz",erste ansprechperson f r kund innen selbstst ndige kassenf hrung abwicklung de schaltergesch ftes und zahlungsverkehrs servicierung der kund innen im foyer und den selbstbedienungsger ten raiffeisenbank kleinm nchen linz
Servicekundenbetreuer:in mit Schaltertätigkeit für die Raiffeisenbank Hallein-Oberalm,"Sie unterstützen unsere Kunden in allen Angelegenheiten des Zahlungsverkehrs. Dazu zählen die Pflege der Kundendaten, die Betreuung der SB-Geräte, die Bearbeitung und Bestellung von Bankkarten … Abgeschlossene kaufmännische Ausbildung und erste Bankerfahrung",sie unterst tzen unsere kunden allen angelegenheiten de zahlungsverkehrs dazu z hlen die pflege der kundendaten die betreuung der sb ger te die bearbeitung und bestellung von bankkarten abgeschlossene kaufm nnische ausbildung und erste bankerfahrung
Service-/Privatkundenbetreuer:in (m/w/d),"Voll- oder Teilzeit (mind. 22,5 Stunden/Woche) - Möchten Sie folgende Aufgaben übernehmen? * Sie sind verantwortlich für die Kassenführung und für die Betreuung unserer SB-Geräte … Abgeschlossene Bankausbildung sowie entsprechende Berufserfahrung im Bankbereich",voll oder teilzeit mind stunden woche chten sie folgende aufgaben bernehmen sie sind verantwortlich f r die kassenf hrung und f r die betreuung unserer sb ger te abgeschlossene bankausbildung sowie entsprechende berufserfahrung im bankbereich
Vertriebsassistent:in Bank,"Sie unterstützen unsere Kundinnen und Kunden in allen Angelegenheiten des Zahlungsverkehrs. Dazu zählen die Kontoauszugsverwaltung, die Pflege der Kundendaten, die Betreuung der SB-Geräte, die Abwicklung der Telefonkorrespondenz sowie das Erkennen … Bankerfahrung von Vorteil",sie unterst tzen unsere kundinnen und kunden allen angelegenheiten de zahlungsverkehrs dazu z hlen die kontoauszugsverwaltung die pflege der kundendaten die betreuung der sb ger te die abwicklung der telefonkorrespondenz sowie da erkennen bankerfahrung von vorteil
Bankstellenleiter*in,"Gesamte Verantwortung für eine erfolgreiche Bankstelle - Ganzheitliche Betreuung der Bestandskunden sowie Verstärkung der Kundenbeziehungen - Gewinnung neuer Kunden und damit Ausbau der Kundenplattform - Qualifizierte Beratung und Vertrieb von Finanzprodukten (Zahlungsverkehr, Finanzierungen, Veranlagungen … ",gesamte verantwortung f r eine erfolgreiche bankstelle ganzheitliche betreuung der bestandskunden sowie verst rkung der kundenbeziehungen gewinnung neuer kunden und damit ausbau der kundenplattform qualifizierte beratung und vertrieb von finanzprodukten zahlungsverkehr finanzierungen veranlagungen
Internship Banking Book Risk Management (all genders),"Location: Vienna - Working-Hours: Full-time - Occupation Area: Financial markets, IT - Company: Erste Group Bank AG - Erste Group was founded in 1819 as the first Austrian savings bank and today it is one of the largest banking groups in Central and Eastern Europe (CEE)",location vienna working hour full time upation area financial market company erste group bank ag erste group founded first austrian saving bank today one largest banking group central eastern europe cee
Junior Kreditsachbearbeiter:in Bank,"In dieser Position erstellen Sie individuelle, auf die Kundenerfordernisse abgestimmte Kreditvorlagen und in weiterer Folge die gesamten … Kredit- und Sicherheitenverträge). Des Weiteren unterstützen Sie die Kundenberater bei der Betreuung der Kunden",dieser position erstellen sie individuelle auf die kundenerfordernisse abgestimmte kreditvorlagen und weiterer folge die gesamten kredit und sicherheitenvertr ge de weiteren unterst tzen sie die kundenberater bei der betreuung der kunden
Expert:in Junior für die Abteilung Gesamtbanksteuerung/Rechnungswesen (m/w/d),"Sie bereiten monatlich Berichte zur Gesamtbanksteuerung und Controlling auf - Sie bereiten Daten für diverse Entscheidungsfindungen auf - Sie unterstützen bei der Liquiditätssteuerung, der Analyse der Gesamtbank und zeigen Optimierungspotentiale auf",sie bereiten monatlich berichte zur gesamtbanksteuerung und controlling auf sie bereiten daten f r diverse entscheidungsfindungen auf sie unterst tzen bei der liquidit tssteuerung der analyse der gesamtbank und zeigen optimierungspotentiale auf
Mitarbeiter Organisation (m/w/d) Core Banking / Applikationen 50-100%,"Du betreust die etablierten bankfachlichen Systeme als Teil eines interdisziplinären, agilen Teams mit - Die Optimierung von Business Prozessen und die Implementierung neuer Systemfunktionalitäten liegt dir … Bankerfahrung ist von Vorteil",du betreust die etablierten bankfachlichen systeme al teil eines interdisziplin ren agilen team mit die optimierung von business prozessen und die implementierung neuer systemfunktionalit ten liegt dir bankerfahrung ist von vorteil
Privatkundenbetreuer (m/w/d),"Betreuung und Beratung zugeordneter Kunden in allen finanziellen Angelegenheiten (Veranlagung, Finanzierung, Konto/Zahlungsverkehr, Versicherungen) … Erste Berufserfahrung in (der Kundenbetreuung) einer Bank sowie abgeschlossene Bankausbildung",betreuung und beratung zugeordneter kunden allen finanziellen angelegenheiten veranlagung finanzierung konto zahlungsverkehr versicherungen erste berufserfahrung der kundenbetreuung einer bank sowie abgeschlossene bankausbildung
Assistenz Private Banking (all genders),Bedürfnisorientierte Betreuung mit Fokus auf das gehobene Veranlagungsgeschäft - Aktive Unterstützung der Private Banking Betreuer*innen im Tagesgeschäft - Vor- und Nachbearbeitung von Kundengesprächen - Verkaufsorientierte Unterstützung der Private Banking Betreuer*innen,bed rfnisorientierte betreuung mit fokus auf da gehobene veranlagungsgesch ft aktive unterst tzung der private banking betreuer innen im tagesgesch ft vor und nachbearbeitung von kundengespr chen verkaufsorientierte unterst tzung der private banking betreuer innen
Servicebetreuer (m/w/d),"Servicebetreuer … Erste Ansprechperson für Kund:innen - Selbstständige Kassenführung, Abwicklung des Schaltergeschäftes und des Zahlungsverkehrs - Servicierung der Kund:innen im Foyer und an den Selbstbedienungsgeräten - Erledigung administrativer und organisatorischer Aufgaben",servicebetreuer erste ansprechperson f r kund innen selbstst ndige kassenf hrung abwicklung de schaltergesch ftes und de zahlungsverkehrs servicierung der kund innen im foyer und den selbstbedienungsger ten erledigung administrativer und organisatorischer aufgaben
Expert:in Treasury Bank,Nach einer – ihren Vorkenntnissen angepassten - Einarbeitungsphase übernehmen Sie eigenverantwortlich Aufgaben im Treasury … Dabei stehen Sie in direkter Geschäftsbeziehung mit Interbankpartnern und den Salzburger Raiffeisenbanken,nach einer ihren vorkenntnissen angepassten einarbeitungsphase bernehmen sie eigenverantwortlich aufgaben im treasury dabei stehen sie direkter gesch ftsbeziehung mit interbankpartnern und den salzburger raiffeisenbanken
Kontomanager (all genders),Dienstort: Wien - Arbeitszeitausmaß: Vollzeit - Berufsfeld: Sonstige - Unternehmen: Intermarket Bank AG - Die Intermarket Bank AG der Erste Group ist die Spezialbank für Factoring und Supply Chain Finance der Erste Bank und Sparkassen. Sie betreut rund 400 Kunden der mittelständischen Wirtschaft und Großkunden,dienstort wien arbeitszeitausma vollzeit berufsfeld sonstige unternehmen intermarket bank ag die intermarket bank ag der erste group ist die spezialbank f r factoring und supply chain finance der erste bank und sparkassen sie betreut rund kunden der mittelst ndischen wirtschaft und gro kunden
Internship Risikomanagement bank99 (w/m/d),"Als vollwertiges Teammitglied der bank99 AG bekommst du die großartige Gelegenheit unterschiedliche Prozesse und Aufgabenfelder innerhalb einer modernen … Nutze diese Chance, um Berufserfahrung im Bankensektor zu sammeln und dir ein Netzwerk aufzubauen",al vollwertiges teammitglied der bank ag bekommst du die gro artige gelegenheit unterschiedliche prozesse und aufgabenfelder innerhalb einer modernen nutze diese chance um berufserfahrung im bankensektor zu sammeln und dir ein netzwerk aufzubauen
Mitarbeiter Online-Banking (m/w/d),Technischer Support unserer Privat- und Firmenkunden in unserer Kundenhotline sowie per E-Mail - Unterstützung unserer Kunden im richtigen Handling unserer Banking-Anwendungen (gegebenenfalls beim Kunden vor Ort) - Selbstständige Lösungsfindung u.a,technischer support unserer privat und firmenkunden unserer kundenhotline sowie per e mail unterst tzung unserer kunden im richtigen handling unserer banking anwendungen gegebenenfalls beim kunden vor ort selbstst ndige l sungsfindung u
Privatkundenbetreuer:in (m/w/d),Überzeugen Sie uns fachlich und persönlich * Abgeschlossene Bankausbildung sowie entsprechende Berufserfahrung im Bankbereich * Umfassende Kenntnisse von Bankprodukten von Vorteil * Ausgezeichnete MS-Office Kenntnisse und ein gutes Zahlengefühl,berzeugen sie un fachlich und pers nlich abgeschlossene bankausbildung sowie entsprechende berufserfahrung im bankbereich umfassende kenntnisse von bankprodukten von vorteil ausgezeichnete m office kenntnisse und ein gutes zahlengef hl
Privatkundenbetreuer:in - RB Wagram Schmidatal,"Aktive, umfassende und intensive Betreuung unserer Privatkunden in allen finanziellen Angelegenheiten - Erkennen und Nutzen von Cross-Selling-Potenzialen - Aufbau neuer Kundenbeziehungen und Pflege des persönlichen Netzwerkes im Einzugsgebiet der Raiffeisenbank",aktive umfassende und intensive betreuung unserer privatkunden allen finanziellen angelegenheiten erkennen und nutzen von cross selling potenzialen aufbau neuer kundenbeziehungen und pflege de pers nlichen netzwerkes im einzugsgebiet der raiffeisenbank
Vertriebsassistent:in Bank,"Sie unterstützen unsere Kundinnen und Kunden in allen Angelegenheiten des Zahlungsverkehrs. Dazu zählen die Kontoauszugsverwaltung, die Pflege der Kundendaten, die Betreuung der SB-Geräte, die Abwicklung der Telefonkorrespondenz sowie das Erkennen … Bankerfahrung von Vorteil",sie unterst tzen unsere kundinnen und kunden allen angelegenheiten de zahlungsverkehrs dazu z hlen die kontoauszugsverwaltung die pflege der kundendaten die betreuung der sb ger te die abwicklung der telefonkorrespondenz sowie da erkennen bankerfahrung von vorteil
Servicekundenbetreuer:in,"Sie beraten Ihre Kundinnen und Kunden in allen Finanzangelegenheiten, speziell in Sachen Wertpapier, Finanzierung, Veranlagung, Zahlungsverkehr und Vorsorge. Durch Ihr Kommunikationstalent gelingt es Ihnen, nachhaltige und erfolgreiche Kundenbeziehungen aufzubauen und zu pflegen",sie beraten ihre kundinnen und kunden allen finanzangelegenheiten speziell sachen wertpapier finanzierung veranlagung zahlungsverkehr und vorsorge durch ihr kommunikationstalent gelingt e ihnen nachhaltige und erfolgreiche kundenbeziehungen aufzubauen und zu pflegen
Kontomanager (all genders),"Die Intermarket Bank AG der Erste Group ist die Spezialbank für Factoring und Supply Chain Finance der Erste Bank und Sparkassen … Erster Ansprechpartner für den Kunden betreffend Fragen der Abwicklung seines Vertrages - Verbuchen von Zahlungseingängen für Rechnungen, Bearbeitung von Reklamationen",die intermarket bank ag der erste group ist die spezialbank f r factoring und supply chain finance der erste bank und sparkassen erster ansprechpartner f r den kunden betreffend fragen der abwicklung seine vertrages verbuchen von zahlungseing ngen f r rechnungen bearbeitung von reklamationen
